Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”,Name: “Table 1 of 1 on page 11 of 17”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,
,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,,,
,,,,1982,,,,,
,,WITH KNOWN,,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,536,10,1.9,108,20.1,415,77.4,3,0.6
ALASKA,80,26,32.5,0,0.0,48,60.0,6,7.5
ARIZONA,562,64,11.4,20,3.6,399,71.0,79,14.1
ARKANSAS,358,41,11.5,0,0.0,281,78.5,36,10.1
CALIFORNIA,"3,310",684,20.7,65,2.0,"2,413",72.9,148,4.5
COLORADO,448,206,46.0,0,0.0,240,53.6,2,0.4
CONNECTICUT,367,80,21.8,19,5.2,268,73.0,0,0.0
DELAWARE,96,72,75.0,0,0.0,23,24.0,1,1.0
DIST OF COLUMBIA,34,10,29.4,0,0.0,23,67.6,1,2.9
FLORIDA,"2,260",467,20.7,199,8.8,"1,477",65.4,117,5.2
GEORGIA,880,325,36.9,15,1.7,539,61.3,1,0.1
HAWAII,113,17,15.0,1,0.9,95,84.1,0,0.0
IDAHO,156,22,14.1,22,14.1,108,69.2,4,2.6
ILLINOIS,"1,230",54,4.4,30,2.4,"1,094",88.9,52,4.2
INDIANA,670,154,23.0,40,6.0,440,65.7,36,5.4
IOWA,305,36,11.8,13,4.3,244,80.0,12,3.9
KANSAS,331,26,7.9,17,5.1,277,83.7,11,3.3
KENTUCKY,513,100,19.5,18,3.5,394,76.8,1,0.2
LOUISIANA,816,236,28.9,140,17.2,420,51.5,20,2.5
MAINE,109,15,13.8,3,2.8,90,82.6,1,0.9
MARYLAND,482,25,5.2,32,6.6,423,87.8,2,0.4
MASSACHUSETTS,461,19,4.1,4,0.9,202,43.8,236,51.2
MICHIGAN,"1,101",219,19.9,13,1.2,861,78.2,8,0.7
MINNESOTA,440,120,27.3,103,23.4,150,34.1,67,15.2
MISSISSIPPI,455,35,7.7,4,0.9,162,35.6,254,55.8
MISSOURI,607,31,5.1,15,2.5,467,76.9,94,15.5
MONTANA,151,40,26.5,2,1.3,83,55.0,26,17.2
NEBRASKA,181,101,55.8,7,3.9,50,27.6,23,12.7
NEVADA,170,79,46.5,1,0.6,90,52.9,0,0.0
NEW HAMPSHIRE,116,28,24.1,5,4.3,83,71.6,0,0.0
NEW JERSEY,845,237,28.0,3,0.4,603,71.4,2,0.2
NEW MEXICO,355,29,8.2,64,18.0,232,65.4,30,8.5
NEW YORK,"1,693",45,2.7,23,1.4,933,55.1,692,40.9
NORTH CAROLINA,929,5,0.5,157,16.9,744,80.1,23,2.5
NORTH DAKOTA,87,10,11.5,20,23.0,55,63.2,2,2.3
OHIO,"1,146",186,16.2,52,4.5,828,72.3,80,7.0
OKLAHOMA,750,41,5.5,42,5.6,665,88.7,2,0.3
OREGON,360,94,26.1,3,0.8,263,73.1,0,0.0
PENNSYLVANIA,"1,307",163,12.5,30,2.3,"1,114",85.2,0,0.0
RHODE ISLAND,75,8,10.7,6,8.0,54,72.0,7,9.3
SOUTH CAROLINA,524,24,4.6,85,16.2,390,74.4,25,4.8
SOUTH DAKOTA,95,49,51.6,0,0.0,46,48.4,0,0.0
TENNESSEE,690,304,44.1,2,0.3,377,54.6,7,1.0
TEXAS,"2,799",78,2.8,195,7.0,"2,524",90.2,2,0.1
UTAH,214,130,60.7,8,3.7,76,35.5,0,0.0
VERMONT,62,41,66.1,1,1.6,15,24.2,5,8.1
VIRGINIA,625,7,1.1,34,5.4,582,93.1,2,0.3
WASHINGTON,509,137,26.9,33,6.5,307,60.3,32,6.3
WEST VIRGINIA,287,50,17.4,5,1.7,230,80.1,2,0.7
WISCONSIN,532,91,17.1,28,5.3,410,77.1,3,0.6
WYOMING,117,22,18.8,7,6.0,86,73.5,2,1.7
TOTAL USA,"31,339","5,093",16.3,"1,694",5.4,"22,393",71.5,"2,159",6.9
PUERTO RICO,416,65,15.6,5,1.2,343,82.5,3,0.7
