Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”,Name: “Table 1 of 1 on page 4 of 17”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,
FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE,
,,,,1994,,,,,
,,No Alcohol,,Low Alcohol,,High Alcohol,High Alcohol,Any Alcohol,
,,BAC .00,,BAC .01-.09,,BAC .10+,,BAC .01+,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,"1,083",647,59.7,80,7.4,356,32.9,436,40.3
ALASKA,85,37,43.5,9,10.8,39,45.7,48,56.5
ARIZONA,903,502,55.6,82,9.1,319,35.3,401,44.4
ARKANSAS,610,411,67.3,51,8.3,149,24.4,200,32.7
CALIFORNIA,"4,226","2,551",60.4,379,9.0,"1,295",30.7,"1,674",39.7
COLORADO,585,309,52.8,55,9.3,221,37.8,276,47.1
CONNECTICUT,310,165,53.1,33,10.7,112,36.1,145,46.8
DELAWARE,112,49,44.0,16,14.0,47,42.0,63,56.0
DIST OF COLUMBIA,69,36,52.6,7,10.6,25,36.8,32,47.4
FLORIDA,"2,687","1,637",60.9,201,7.5,848,31.6,"1,049",39.1
GEORGIA,"1,426",897,62.9,132,9.3,397,27.8,529,37.1
HAWAII,122,63,51.6,10,8.5,49,39.9,59,48.4
IDAHO,249,161,64.8,16,6.5,71,28.7,87,35.2
ILLINOIS,"1,554",898,57.8,129,8.3,527,33.9,656,42.2
INDIANA,974,635,65.2,67,6.8,273,28.0,340,34.8
IOWA,478,266,55.6,66,13.7,146,30.6,212,44.3
KANSAS,442,274,62.0,31,7.1,137,30.9,168,38.0
KENTUCKY,778,493,63.4,76,9.8,208,26.8,284,36.6
LOUISIANA,838,413,49.3,84,10.1,341,40.7,425,50.8
MAINE,188,124,65.8,18,9.3,47,24.9,65,34.2
MARYLAND,651,442,67.9,59,9.0,151,23.2,210,32.2
MASSACHUSETTS,440,226,51.5,56,12.6,158,35.9,214,48.5
MICHIGAN,"1,419",839,59.2,122,8.6,457,32.2,579,40.8
MINNESOTA,644,400,62.1,56,8.7,188,29.2,244,37.9
MISSISSIPPI,791,447,56.6,78,9.8,266,33.6,344,43.4
MISSOURI,"1,089",546,50.1,122,11.2,421,38.7,543,49.9
MONTANA,202,100,49.5,14,7.0,88,43.5,102,50.5
NEBRASKA,271,155,57.2,36,13.2,80,29.6,116,42.8
NEVADA,294,146,49.8,28,9.6,119,40.6,147,50.2
NEW HAMPSHIRE,119,72,60.2,10,8.4,37,31.5,47,39.9
NEW JERSEY,761,483,63.4,65,8.6,213,28.0,278,36.6
NEW MEXICO,447,211,47.2,45,10.0,192,42.9,237,52.9
NEW YORK,"1,658","1,155",69.7,123,7.4,380,22.9,503,30.3
NORTH CAROLINA,"1,431",920,64.3,93,6.5,418,29.2,511,35.7
NORTH DAKOTA,88,44,50.1,6,7.3,38,42.6,44,49.9
OHIO,"1,371",975,71.1,82,6.0,314,22.9,396,28.9
OKLAHOMA,687,418,60.8,61,8.9,208,30.3,269,39.2
OREGON,490,294,59.9,39,8.0,157,32.1,196,40.1
PENNSYLVANIA,"1,441",856,59.4,109,7.6,476,33.1,585,40.7
RHODE ISLAND,63,35,55.3,9,14.5,19,30.2,28,44.7
SOUTH CAROLINA,847,639,75.4,28,3.3,180,21.3,208,24.6
SOUTH DAKOTA,154,82,53.3,11,7.1,61,39.6,72,46.7
TENNESSEE,"1,214",727,59.9,97,8.0,389,32.0,486,40.0
TEXAS,"3,186","1,433",45.0,345,10.8,"1,409",44.2,"1,754",55.0
UTAH,342,251,73.4,23,6.7,68,20.0,91,26.7
VERMONT,77,41,53.8,10,13.6,25,32.6,35,46.2
VIRGINIA,930,566,60.9,78,8.4,285,30.7,363,39.1
WASHINGTON,638,331,51.8,57,9.0,250,39.2,307,48.2
WEST VIRGINIA,356,204,57.3,23,6.5,129,36.2,152,42.7
WISCONSIN,712,408,57.3,58,8.1,246,34.6,304,42.7
WYOMING,144,73,51.0,9,5.9,62,43.1,71,49.0
TOTAL USA,"40,676","24,087",59.2,"3,495",8.6,"13,094",32.2,"16,589",40.8
PUERTO RICO,598,295,49.3,84,14.1,219,36.7,303,50.8
