Name: “Table 1 of 1 on page 13 of 17”,Name: “Table 1 of 1 on page 13 of 17”,Name: “Table 1 of 1 on page 13 of 17”,Name: “Table 1 of 1 on page 13 of 17”
Table: 13,Table: 13,Table: 13,Table: 13
,,,
"DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN",
,INVOLVED IN FATAL TRAFFIC CRASHES,INVOLVED IN FATAL TRAFFIC CRASHES,
,1982,,
,,TESTED WITH KNOWN BAC,
STATE,TOTAL,#,%
ALABAMA,"1,161",110,9.5
ALASKA,159,58,36.5
ARIZONA,"1,093",315,28.8
ARKANSAS,765,80,10.5
CALIFORNIA,"6,896","3,575",51.8
COLORADO,925,596,64.4
CONNECTICUT,773,332,42.9
DELAWARE,201,169,84.1
DIST OF COLUMBIA,64,33,51.6
FLORIDA,"4,420","1,067",24.1
GEORGIA,"1,808",869,48.1
HAWAII,240,126,52.5
IDAHO,315,52,16.5
ILLINOIS,"2,524",883,35.0
INDIANA,"1,405",470,33.5
IOWA,675,173,25.6
KANSAS,703,88,12.5
KENTUCKY,"1,143",523,45.8
LOUISIANA,"1,681",397,23.6
MAINE,237,70,29.5
MARYLAND,975,423,43.4
MASSACHUSETTS,996,72,7.2
MICHIGAN,"2,177",796,36.6
MINNESOTA,847,413,48.8
MISSISSIPPI,980,90,9.2
MISSOURI,"1,263",201,15.9
MONTANA,322,125,38.8
NEBRASKA,376,200,53.2
NEVADA,392,272,69.4
NEW HAMPSHIRE,249,89,35.7
NEW JERSEY,"1,686",889,52.7
NEW MEXICO,773,369,47.7
NEW YORK,"3,430",951,27.7
NORTH CAROLINA,"1,932",427,22.1
NORTH DAKOTA,203,14,6.9
OHIO,"2,353",650,27.6
OKLAHOMA,"1,538",592,38.5
OREGON,732,410,56.0
PENNSYLVANIA,"2,728","1,063",39.0
RHODE ISLAND,159,80,50.3
SOUTH CAROLINA,"1,093",294,26.9
SOUTH DAKOTA,197,126,64.0
TENNESSEE,"1,464",836,57.1
TEXAS,"6,028",125,2.1
UTAH,425,278,65.4
VERMONT,141,104,73.8
VIRGINIA,"1,284",454,35.4
WASHINGTON,"1,068",561,52.5
WEST VIRGINIA,605,267,44.1
WISCONSIN,"1,114",554,49.7
WYOMING,257,121,47.1
TOTAL USA,"64,975","21,832",33.6
PUERTO RICO,818,256,31.3
