Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,
,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,,
,DRIVERS IN FATAL CRASHES,DRIVERS IN FATAL CRASHES,DRIVERS IN FATAL CRASHES,,
,,WITH A BAC >= .10,WITH A BAC >= .10,,
,1982,1994,,1982,1994
Region I,,,Region VI,,
Connecticut,37.4%,21.9%,Arkansas,33.5%,15.5%
Maine,27.1%,14.7%,Louisiana,25.4%,24.4%
Massachusetts,32.1%,22.9%,New Mexico,34.2%,26.5%
New Hampshire,31.5%,21.8%,Oklahoma,27.5%,19.7%
Rhode Island,35.3%,16.9%,Texas,38.0%,27.7%
Vermont,30.8%,23.1%,,,
,,,Region VII,,
Region II,,,Iowa,24.4%,18.6%
New Jersey,25.7%,16.7%,Kansas,23.6%,21.0%
New York,22.0%,12.3%,Missouri,25.8%,24.8%
* Puerto Rico,22.0%,19.2%,Nebraska,25.2%,19.1%
Region III,,,Region VIII,,
Delaware,35.6%,22.5%,Colorado,35.3%,22.5%
DC,24.7%,22.7%,Montana,37.4%,30.8%
Maryland,27.7%,11.7%,North Dakota,37.6%,25.9%
Pennsylvania,29.9%,20.2%,South Dakota,35.5%,25.2%
Virginia,27.5%,19.5%,Utah,20.6%,12.4%
West Virginia,29.7%,22.8%,Wyoming,31.3%,33.9%
Region IV,,,Region IX,,
Alabama,29.8%,20.9%,Arizona,26.8%,19.3%
Florida,22.5%,16.2%,California,30.9%,17.3%
Georgia,29.5%,15.6%,Hawaii,33.5%,25.7%
Kentucky,26.9%,17.6%,Nevada,36.1%,24.8%
Mississippi,30.0%,22.6%,,,
North Carolina,30.3%,15.8%,,,
South Carolina,29.6%,12.1%,Region X,,
Tennessee,35.3%,20.6%,Alaska,35.6%,32.4%
,,,Idaho,25.8%,19.3%
,,,Oregon,35.0%,20.5%
Region V,,,Washington,37.3%,24.0%
Illinois,28.6%,20.5%,,,
Indiana,25.9%,17.5%,,,
Michigan,31.5%,18.7%,,,
Minnesota,29.6%,19.0%,Nation,30.0%,19.3%
Ohio,31.2%,14.0%,,,
Wisconsin,36.3%,21.8%,* not included in the national totals,* not included in the national totals,
