Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,
,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,,,
,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,,
,,,,1994,,,,,
,,No Alcohol,,Low Alcohol,,High Alcohol,High Alcohol,Any Alcohol,
,,BAC .00,,BAC .01-.09,,BAC .10+,,BAC .01+,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,"1,444","1,072",74.2,71,4.9,302,20.9,373,25.8
ALASKA,93,55,59.6,7,8.0,30,32.4,37,40.4
ARIZONA,"1,191",884,74.3,76,6.4,230,19.3,306,25.7
ARKANSAS,815,644,79.0,45,5.5,126,15.5,171,21.0
CALIFORNIA,"5,674","4,366",77.0,327,5.8,981,17.3,"1,308",23.1
COLORADO,787,547,69.5,63,8.0,177,22.5,240,30.5
CONNECTICUT,404,281,69.5,35,8.7,88,21.9,123,30.6
DELAWARE,165,113,68.6,15,8.9,37,22.5,52,31.4
DIST OF COLUMBIA,83,56,67.6,8,9.7,19,22.7,27,32.4
FLORIDA,"3,756","2,973",79.1,175,4.7,608,16.2,783,20.9
GEORGIA,"2,013","1,578",78.4,120,6.0,315,15.6,435,21.6
HAWAII,147,100,68.0,9,6.3,38,25.7,47,32.0
IDAHO,309,234,75.7,15,5.0,60,19.3,75,24.3
ILLINOIS,"2,120","1,562",73.7,123,5.8,436,20.5,559,26.3
INDIANA,"1,340","1,045",78.0,61,4.6,234,17.5,295,22.1
IOWA,668,483,72.3,61,9.1,125,18.6,186,27.7
KANSAS,558,411,73.6,30,5.4,117,21.0,147,26.4
KENTUCKY,"1,057",801,75.8,70,6.6,186,17.6,256,24.2
LOUISIANA,"1,081",726,67.2,91,8.4,264,24.4,355,32.8
MAINE,246,194,79.0,16,6.3,36,14.7,52,21.0
MARYLAND,927,769,82.9,49,5.3,109,11.7,158,17.0
MASSACHUSETTS,590,400,67.7,55,9.4,135,22.9,190,32.3
MICHIGAN,"2,027","1,519",74.9,129,6.4,379,18.7,508,25.1
MINNESOTA,853,637,74.7,54,6.3,162,19.0,216,25.3
MISSISSIPPI,"1,035",729,70.4,72,7.0,234,22.6,306,29.6
MISSOURI,"1,437",958,66.7,123,8.5,356,24.8,479,33.3
MONTANA,247,156,63.0,15,6.2,76,30.8,91,37.0
NEBRASKA,351,250,71.1,34,9.8,67,19.1,101,28.9
NEVADA,370,246,66.5,32,8.7,92,24.8,124,33.5
NEW HAMPSHIRE,147,107,72.6,8,5.6,32,21.8,40,27.4
NEW JERSEY,"1,004",777,77.4,59,5.9,168,16.7,227,22.6
NEW MEXICO,530,353,66.6,37,7.0,140,26.5,177,33.5
NEW YORK,"2,256","1,876",83.2,102,4.5,278,12.3,380,16.8
NORTH CAROLINA,"1,900","1,518",79.9,82,4.3,300,15.8,382,20.1
NORTH DAKOTA,108,72,66.5,8,7.7,28,25.9,36,33.6
OHIO,"1,906","1,561",81.9,79,4.1,267,14.0,346,18.1
OKLAHOMA,888,664,74.8,48,5.4,175,19.7,223,25.1
OREGON,617,446,72.3,44,7.2,127,20.5,171,27.7
PENNSYLVANIA,"2,035","1,513",74.3,111,5.5,411,20.2,522,25.7
RHODE ISLAND,88,66,74.4,8,8.6,15,16.9,23,25.5
SOUTH CAROLINA,"1,117",958,85.7,24,2.1,136,12.1,160,14.2
SOUTH DAKOTA,185,126,68.3,12,6.5,47,25.2,59,31.7
TENNESSEE,"1,637","1,206",73.7,94,5.7,336,20.6,430,26.3
TEXAS,"4,099","2,595",63.3,367,9.0,"1,137",27.7,"1,504",36.7
UTAH,428,358,83.6,17,4.0,53,12.4,70,16.4
VERMONT,105,73,69.4,8,7.5,24,23.1,32,30.6
VIRGINIA,"1,182",883,74.7,69,5.8,231,19.5,300,25.3
WASHINGTON,855,599,70.1,51,5.9,205,24.0,256,29.9
WEST VIRGINIA,493,359,72.8,22,4.5,112,22.8,134,27.3
WISCONSIN,984,712,72.3,58,5.8,215,21.8,273,27.6
WYOMING,162,98,60.3,9,5.7,55,33.9,64,39.6
TOTAL USA,"54,514","40,705",74.7,"3,300",6.1,"10,509",19.3,"13,809",25.4
PUERTO RICO,777,546,70.3,82,10.5,149,19.2,231,29.7
