Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”
Table: 14,Table: 14,Table: 14,Table: 14
,,,
"DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN",
,INVOLVED IN FATAL TRAFFIC CRASHES,INVOLVED IN FATAL TRAFFIC CRASHES,
,1994,,
,,TESTED WITH KNOWN BAC,
STATE,TOTAL,#,%
ALABAMA,"1,543",334,21.6
ALASKA,109,73,67.0
ARIZONA,"1,372",401,29.2
ARKANSAS,883,417,47.2
CALIFORNIA,"6,717","3,101",46.2
COLORADO,855,560,65.5
CONNECTICUT,476,215,45.2
DELAWARE,189,144,76.2
DIST OF COLUMBIA,110,12,10.9
FLORIDA,"4,449","1,598",35.9
GEORGIA,"2,216","1,573",71.0
HAWAII,178,110,61.8
IDAHO,324,94,29.0
ILLINOIS,"2,412","1,115",46.2
INDIANA,"1,437",792,55.1
IOWA,704,315,44.7
KANSAS,590,229,38.8
KENTUCKY,"1,122",504,44.9
LOUISIANA,"1,228",807,65.7
MAINE,272,159,58.5
MARYLAND,"1,074",411,38.3
MASSACHUSETTS,690,314,45.5
MICHIGAN,"2,261","1,051",46.5
MINNESOTA,926,447,48.3
MISSISSIPPI,"1,102",536,48.6
MISSOURI,"1,532",667,43.5
MONTANA,261,182,69.7
NEBRASKA,371,282,76.0
NEVADA,436,250,57.3
NEW HAMPSHIRE,160,86,53.8
NEW JERSEY,"1,201",350,29.1
NEW MEXICO,625,310,49.6
NEW YORK,"2,747",885,32.2
NORTH CAROLINA,"2,127",904,42.5
NORTH DAKOTA,116,49,42.2
OHIO,"2,068",623,30.1
OKLAHOMA,947,410,43.3
OREGON,705,454,64.4
PENNSYLVANIA,"2,236",968,43.3
RHODE ISLAND,106,49,46.2
SOUTH CAROLINA,"1,248",188,15.1
SOUTH DAKOTA,208,146,70.2
TENNESSEE,"1,746","1,084",62.1
TEXAS,"4,641","1,862",40.1
UTAH,478,342,71.5
VERMONT,110,32,29.1
VIRGINIA,"1,307",427,32.7
WASHINGTON,962,539,56.0
WEST VIRGINIA,532,248,46.6
WISCONSIN,"1,043",622,59.6
WYOMING,167,103,61.7
TOTAL USA,"61,319","27,374",44.6
PUERTO RICO,"1,013",648,64.0
