Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,
,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,,
,ALCOHOL RELATED FATALITIES,ALCOHOL RELATED FATALITIES,ALCOHOL RELATED FATALITIES,,
,(DRIVER OR PEDESTRIAN BAC >= .01),(DRIVER OR PEDESTRIAN BAC >= .01),(DRIVER OR PEDESTRIAN BAC >= .01),,
,1982,1994,,1982,1994
Region I,,,Region VI,,
Connecticut,68.3%,46.8%,Arkansas,61.0%,32.7%
Maine,49.6%,34.2%,Louisiana,54.5%,50.8%
Massachusetts,59.5%,48.5%,New Mexico,63.6%,52.9%
New Hampshire,58.4%,39.9%,Oklahoma,56.1%,39.2%
Rhode Island,66.2%,44.7%,Texas,68.5%,55.0%
Vermont,64.3%,46.2%,,,
,,,Region VII,,
Region II,,,Iowa,47.0%,44.3%
New Jersey,56.0%,36.6%,Kansas,45.1%,38.0%
New York,47.1%,30.3%,Missouri,50.1%,49.9%
*Puerto Rico,48.8%,50.8%,Nebraska,48.0%,42.8%
Region III,,,Region VIII,,
Delaware,65.9%,56.0%,Colorado,62.3%,47.1%
DC,59.7%,47.4%,Montana,65.8%,50.5%
Maryland,54.4%,32.2%,North Dakota,64.1%,49.9%
Pennsylvania,58.4%,40.7%,South Dakota,60.2%,46.7%
Virginia,52.8%,39.1%,Utah,38.2%,26.7%
West Virginia,50.8%,42.7%,Wyoming,55.4%,49.0%
Region IV,,,Region IX,,
Alabama,55.8%,40.3%,Arizona,56.3%,44.4%
Florida,46.6%,39.1%,California,59.0%,39.7%
Georgia,58.6%,37.1%,Hawaii,61.4%,48.4%
Kentucky,53.9%,36.6%,Nevada,66.8%,50.2%
Mississippi,56.3%,43.4%,,,
North Carolina,60.1%,35.7%,,,
South Carolina,58.9%,24.6%,Region X,,
Tennessee,62.4%,40.0%,Alaska,54.8%,56.5%
,,,Idaho,44.0%,35.2%
,,,Oregon,62.8%,40.1%
Region V,,,Washington,63.4%,48.2%
Illinois,58.6%,42.2%,,,
Indiana,48.5%,34.8%,,,
Michigan,59.6%,40.8%,,,
Minnesota,54.5%,37.9%,Nation,57.2%,40.8%
Ohio,56.5%,28.9%,,,
Wisconsin,61.6%,42.7%,* not included in the national totals,* not included in the national totals,
