Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,
,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,,,
,,,,1994,,,,,
,,WITH KNOWN,,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,692,246,35.5,181,26.2,260,37.6,5,0.7
ALASKA,40,30,75.0,0,0.0,3,7.5,7,17.5
ARIZONA,456,248,54.4,96,21.1,24,5.3,88,19.3
ARKANSAS,388,257,66.2,0,0.0,131,33.8,0,0.0
CALIFORNIA,"2,132","1,703",79.9,5,0.2,163,7.6,261,12.2
COLORADO,364,330,90.7,1,0.3,33,9.1,0,0.0
CONNECTICUT,162,131,80.9,0,0.0,21,13.0,10,6.2
DELAWARE,67,57,85.1,0,0.0,7,10.4,3,4.5
DIST OF COLUMBIA,25,0,0.0,1,4.0,20,80.0,4,16.0
FLORIDA,"1,370",855,62.4,49,3.6,458,33.4,8,0.6
GEORGIA,899,685,76.2,84,9.3,113,12.6,17,1.9
HAWAII,63,61,96.8,0,0.0,0,0.0,2,3.2
IDAHO,149,65,43.6,14,9.4,53,35.6,17,11.4
ILLINOIS,945,818,86.6,1,0.1,120,12.7,6,0.6
INDIANA,631,404,64.0,0,0.0,60,9.5,167,26.5
IOWA,307,188,61.2,0,0.0,119,38.8,0,0.0
KANSAS,291,141,48.5,2,0.7,131,45.0,17,5.8
KENTUCKY,517,308,59.6,5,1.0,162,31.3,42,8.1
LOUISIANA,495,360,72.7,45,9.1,82,16.6,8,1.6
MAINE,123,97,78.9,0,0.0,8,6.5,18,14.6
MARYLAND,352,262,74.4,0,0.0,86,24.4,4,1.1
MASSACHUSETTS,261,227,87.0,0,0.0,22,8.4,12,4.6
MICHIGAN,852,617,72.4,14,1.6,220,25.8,1,0.1
MINNESOTA,378,304,80.4,6,1.6,38,10.1,30,7.9
MISSISSIPPI,501,341,68.1,0,0.0,160,31.9,0,0.0
MISSOURI,700,528,75.4,10,1.4,65,9.3,97,13.9
MONTANA,131,104,79.4,0,0.0,15,11.5,12,9.2
NEBRASKA,167,128,76.6,1,0.6,38,22.8,0,0.0
NEVADA,162,132,81.5,2,1.2,28,17.3,0,0.0
NEW HAMPSHIRE,77,58,75.3,0,0.0,6,7.8,13,16.9
NEW JERSEY,382,189,49.5,3,0.8,153,40.1,37,9.7
NEW MEXICO,229,199,86.9,3,1.3,20,8.7,7,3.1
NEW YORK,826,514,62.2,5,0.6,44,5.3,263,31.8
NORTH CAROLINA,835,725,86.8,15,1.8,74,8.9,21,2.5
NORTH DAKOTA,51,33,64.7,0,0.0,18,35.3,0,0.0
OHIO,853,418,49.0,168,19.7,229,26.8,38,4.5
OKLAHOMA,454,325,71.6,0,0.0,116,25.6,13,2.9
OREGON,276,256,92.8,0,0.0,19,6.9,1,0.4
PENNSYLVANIA,881,659,74.8,38,4.3,173,19.6,11,1.2
RHODE ISLAND,29,28,96.6,0,0.0,1,3.4,0,0.0
SOUTH CAROLINA,519,109,21.0,29,5.6,380,73.2,1,0.2
SOUTH DAKOTA,92,73,79.3,4,4.3,12,13.0,3,3.3
TENNESSEE,809,649,80.2,1,0.1,159,19.7,0,0.0
TEXAS,"1,827","1,021",55.9,129,7.1,672,36.8,5,0.3
UTAH,176,142,80.7,11,6.3,23,13.1,0,0.0
VERMONT,45,21,46.7,5,11.1,12,26.7,7,15.6
VIRGINIA,535,352,65.8,0,0.0,36,6.7,147,27.5
WASHINGTON,378,343,90.7,0,0.0,33,8.7,2,0.5
WEST VIRGINIA,239,188,78.7,2,0.8,49,20.5,0,0.0
WISCONSIN,474,409,86.3,1,0.2,60,12.7,4,0.8
WYOMING,88,72,81.8,2,2.3,9,10.2,5,5.7
TOTAL USA,"23,695","16,410",69.3,933,3.9,"4,938",20.8,"1,414",6.0
PUERTO RICO,231,186,80.5,1,0.4,44,19.0,0,0.0
