Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,
,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,,,
,,,,1994,,,,,
,,WITH KNOWN,,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,752,59,7.8,88,11.7,602,80.1,3,0.4
ALASKA,53,33,62.3,1,1.9,12,22.6,7,13.2
ARIZONA,735,69,9.4,33,4.5,510,69.4,123,16.7
ARKANSAS,427,142,33.3,3,0.7,282,66.0,0,0.0
CALIFORNIA,"3,542",775,21.9,20,0.6,"2,744",77.5,3,0.1
COLORADO,423,186,44.0,0,0.0,236,55.8,1,0.2
CONNECTICUT,242,34,14.0,22,9.1,128,52.9,58,24.0
DELAWARE,98,65,66.3,0,0.0,27,27.6,6,6.1
DIST OF COLUMBIA,58,12,20.7,5,8.6,35,60.3,6,10.3
FLORIDA,"2,386",418,17.5,116,4.9,"1,786",74.9,66,2.8
GEORGIA,"1,114",761,68.3,60,5.4,285,25.6,8,0.7
HAWAII,84,23,27.4,0,0.0,55,65.5,6,7.1
IDAHO,160,27,16.9,13,8.1,101,63.1,19,11.9
ILLINOIS,"1,175",93,7.9,3,0.3,"1,079",91.8,0,0.0
INDIANA,709,348,49.1,7,1.0,288,40.6,66,9.3
IOWA,361,119,33.0,0,0.0,242,67.0,0,0.0
KANSAS,267,81,30.3,2,0.7,178,66.7,6,2.2
KENTUCKY,540,181,33.5,4,0.7,333,61.7,22,4.1
LOUISIANA,586,377,64.3,6,1.0,199,34.0,4,0.7
MAINE,123,47,38.2,1,0.8,26,21.1,49,39.8
MARYLAND,575,40,7.0,7,1.2,519,90.3,9,1.6
MASSACHUSETTS,329,6,1.8,2,0.6,297,90.3,24,7.3
MICHIGAN,"1,175",350,29.8,37,3.1,788,67.1,0,0.0
MINNESOTA,475,108,22.7,125,26.3,106,22.3,136,28.6
MISSISSIPPI,534,157,29.4,1,0.2,375,70.2,1,0.2
MISSOURI,737,72,9.8,11,1.5,639,86.7,15,2.0
MONTANA,116,70,60.3,0,0.0,36,31.0,10,8.6
NEBRASKA,184,140,76.1,0,0.0,44,23.9,0,0.0
NEVADA,208,76,36.5,14,6.7,118,56.7,0,0.0
NEW HAMPSHIRE,70,24,34.3,0,0.0,35,50.0,11,15.7
NEW JERSEY,622,100,16.1,74,11.9,410,65.9,38,6.1
NEW MEXICO,301,40,13.3,38,12.6,211,70.1,12,4.0
NEW YORK,"1,430",42,2.9,3,0.2,60,4.2,"1,325",92.7
NORTH CAROLINA,"1,065",4,0.4,109,10.2,907,85.2,45,4.2
NORTH DAKOTA,57,11,19.3,1,1.8,45,78.9,0,0.0
OHIO,"1,053",168,16.0,92,8.7,756,71.8,37,3.5
OKLAHOMA,434,52,12.0,2,0.5,367,84.6,13,3.0
OREGON,341,133,39.0,1,0.3,206,60.4,1,0.3
PENNSYLVANIA,"1,154",208,18.0,66,5.7,871,75.5,9,0.8
RHODE ISLAND,59,5,8.5,1,1.7,53,89.8,0,0.0
SOUTH CAROLINA,598,37,6.2,21,3.5,532,89.0,8,1.3
SOUTH DAKOTA,93,57,61.3,2,2.2,28,30.1,6,6.5
TENNESSEE,828,368,44.4,2,0.2,458,55.3,0,0.0
TEXAS,"2,272",641,28.2,102,4.5,"1,527",67.2,2,0.1
UTAH,252,185,73.4,18,7.1,49,19.4,0,0.0
VERMONT,60,11,18.3,0,0.0,45,75.0,4,6.7
VIRGINIA,647,2,0.3,9,1.4,507,78.4,129,19.9
WASHINGTON,477,113,23.7,2,0.4,357,74.8,5,1.0
WEST VIRGINIA,254,41,16.1,0,0.0,213,83.9,0,0.0
WISCONSIN,510,170,33.3,4,0.8,336,65.9,0,0.0
WYOMING,74,27,36.5,1,1.4,43,58.1,3,4.1
TOTAL USA,"30,819","7,308",23.7,"1,129",3.7,"20,086",65.2,"2,296",7.4
PUERTO RICO,546,278,50.9,6,1.1,262,48.0,0,0.0
