"Table 2.  Individual Income and Tax Data, by State
And Size of Adjusted Gross Income, Tax Year 2011",,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,
 Item ,All returns,Size of adjusted gross income,,,,,,,,
,,"Under
$1 [1]","$1
under
$25,000","$25,000
under
$50,000","$50,000
under
$75,000","$75,000
under
$100,000","$100,000
under
$200,000","$200,000
under
$500,000","$500,000
under
$1,000,000","$1,000,000
or
more"
,,,,,,,,,,
,,,,,,,,,,
 ,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
VIRGINIA,,,,,,,,,,
Number of returns,"3,801,986","50,238","1,325,028","859,121","516,676","351,221","521,795","153,429","17,120","7,358"
    Number of joint returns,"1,486,745","13,344","164,356","239,879","252,428","235,897","420,698","138,532","15,280","6,331"
    Number with paid preparer's signature,"1,784,929","29,557","598,012","397,655","247,867","165,572","239,978","86,015","13,761","6,512"
Number of exemptions,"7,504,222","69,556","1,886,909","1,641,105","1,099,512","851,347","1,422,875","456,907","53,546","22,465"
    Number of dependent exemptions,"2,438,536","13,113","610,451","544,538","330,671","264,345","480,492","164,993","21,153","8,780"
Adjusted gross income (AGI) [2],"252,170,828","-3,249,688","16,374,309","31,189,451","31,846,834","30,442,269","71,125,807","42,287,792","11,487,830","20,666,224"
    Total income: [3] [4] Number,"3,788,441","36,696","1,325,025","859,121","516,676","351,221","521,795","153,429","17,120","7,358"
        Amount,"255,651,057","-3,191,726","16,693,751","31,579,471","32,206,677","30,745,584","71,892,876","42,987,574","11,788,437","20,948,414"
    Salaries and wages in AGI: Number,"3,251,584","13,495","1,070,199","758,656","454,373","312,635","478,355","143,002","14,853","6,016"
        Amount,"188,266,301","427,432","12,879,048","25,781,635","25,190,121","23,864,298","56,100,164","31,067,112","6,589,139","6,367,353"
    Taxable interest:  Number,"1,474,443","17,506","244,987","246,216","236,851","202,021","370,996","132,237","16,371","7,258"
        Amount,"2,749,536","125,169","213,553","247,257","257,995","241,927","533,217","386,747","176,905","566,765"
    Ordinary dividends:  Number ,"833,535","14,176","122,483","112,472","118,490","110,018","233,178","101,714","14,366","6,638"
        Amount,"4,796,474","78,434","223,210","288,406","372,462","388,398","1,069,066","948,023","420,292","1,008,183"
    Qualified dividends: [5]  Number ,"762,177","13,053","109,269","100,554","106,918","100,024","215,332","96,673","13,879","6,475"
        Amount,"3,541,476","50,466","140,853","193,877","252,769","275,197","787,006","718,388","320,387","802,532"
    State and local income tax refunds:  Number ,"1,000,787","2,562","42,939","149,508","189,490","178,593","338,718","87,727","6,878","4,372"
        Amount,"1,125,687","12,019","23,220","93,762","143,073","156,640","384,989","170,792","40,364","100,827"
    Business or profession net income (less loss):  Number,"546,669","14,859","176,458","97,244","70,882","53,895","93,547","33,504","4,342","1,938"
        Amount,"7,225,126","-234,132","1,175,500","788,228","616,909","548,247","1,656,073","1,767,097","490,749","416,455"
    Net capital gain (less loss) in AGI:  Number,"629,104","17,657","85,796","76,681","82,341","78,528","177,865","89,435","14,090","6,711"
        Amount,"9,003,589","177,262","15,162","75,794","103,354","139,052","607,113","1,097,901","777,177","6,010,775"
    Taxable individual retirement arrangements distributions: Number,"338,219","2,968","62,544","63,007","57,621","47,453","75,986","24,343","2,967","1,330"
        Amount,"5,491,941","54,218","343,793","544,417","670,092","723,849","1,709,393","969,948","230,266","245,964"
    Taxable pensions and annuities in AGI:  Number,"769,696","4,657","157,136","155,248","131,202","101,825","163,486","50,880","3,687","1,575"
        Amount,"20,431,820","65,426","1,412,495","2,626,335","3,218,673","3,173,266","6,675,822","2,911,349","238,057","110,396"
    Number of farm returns,"40,521","3,033","8,533","7,704","6,778","5,016","6,610","2,225",373,249
    Unemployment compensation: [6]  Number,"195,393",698,"84,331","50,911","26,091","14,597","15,994","2,622",117,32
        Amount,"1,090,646","4,633","447,078","290,432","150,035","85,297","95,980","16,117",831,244
    Taxable social security benefits in AGI:  Number,"442,484",79,"44,319","125,426","96,581","67,595","84,483","20,468","2,338","1,195"
        Amount,"5,594,870",505,"78,524","766,083","1,316,116","1,195,570","1,693,363","459,186","55,844","29,681"
    Partnership/S-corp net income (less loss):  Number,"209,074","9,219","20,206","24,045","25,148","23,256","54,629","37,463","9,731","5,377"
        Amount,"11,480,769","-1,108,453","-4,354","109,583","206,167","254,000","1,144,683","2,791,531","2,569,632","5,517,979"
Total statutory adjustments: [7] Number,"931,326","11,476","227,398","192,675","153,539","103,616","178,949","50,237","8,971","4,465"
    Amount,"3,479,644","57,950","319,441","390,019","359,272","303,315","767,069","699,781","300,607","282,190"
    Educator expenses:  Number,"107,111",223,"6,574","22,303","21,365","18,684","31,966","5,739",212,45
        Amount,"26,317",52,"1,438","5,189","5,167","4,845","8,186","1,379",52,11
    Self-employed (Keogh) retirement plans:  Number,"28,996",93,638,"1,292","1,710","2,008","8,688","10,090","3,017","1,460"
        Amount,"690,046","1,454","3,390","9,692","15,373","21,518","129,985","275,652","140,700","92,282"
    Self-employed health insurance deduction:  Number,"96,723","2,955","17,134","15,705","11,963","9,277","19,296","14,023","4,057","2,313"
        Amount,"641,050","17,414","67,073","74,342","64,483","56,314","139,254","137,768","51,866","32,537"
     Individual retirement arrangement payments:  Number,"69,495",312,"7,084","16,422","14,089","11,410","17,478","2,224",332,144
        Amount,"286,052","1,392","18,983","54,223","54,315","47,903","85,695","19,087","3,113","1,340"
     Student loan interest deduction:  Number,"272,260","1,779","44,463","79,523","63,442","36,010","47,043",0,0,0
        Amount,"267,673","2,233","42,063","83,105","58,753","39,503","42,015",0,0,0
     Tuition and fees deduction:  Number,"65,362","2,510","16,509","8,865","12,125","4,548","20,805",0,0,0
        Amount,"144,961","8,909","44,485","18,558","24,283","8,794","39,932",0,0,0
    Domestic production activities deduction:  Number,"10,129",100,588,926,"1,042","1,036","2,685","2,193",795,764
        Amount,"149,231",703,839,"2,322","3,066","3,673","12,375","22,383","18,877","84,994"
Total itemized deductions:  [8] Number,"1,513,949",0,"110,334","252,996","270,821","243,137","460,910","151,401","17,021","7,329"
    Amount,"44,180,251",0,"1,660,193","3,996,521","6,041,221","6,074,426","13,551,946","8,649,799","1,602,356","2,603,791"
    State and local income taxes:   Number,"1,387,261",0,"62,260","217,567","252,014","232,119","450,748","148,645","16,684","7,224"
        Amount,"9,017,839",0,"63,436","366,927","697,622","927,073","3,021,769","2,144,889","645,126","1,150,996"
    State and local general sales taxes:   Number,"99,470",0,"36,433","27,736","15,101","8,830","8,405","2,557",314,94
        Amount,"120,730",0,"41,647","28,133","16,874","12,654","14,018","5,195",613,"1,595"
    Real estate taxes:   Number,"1,323,573",0,"71,215","191,615","235,862","223,367","432,588","145,274","16,533","7,119"
        Amount,"4,678,985",0,"167,865","410,115","570,947","624,711","1,683,152","924,193","169,473","128,529"
    Total taxes paid:  Number,"1,507,984",0,"107,092","251,495","270,180","242,878","460,640","151,359","17,014","7,326"
        Amount,"14,382,808",0,"293,365","860,592","1,359,429","1,645,729","4,920,061","3,169,742","837,793","1,296,096"
    Home mortgage interest paid:  Number,"1,214,421",0,"61,210","177,145","218,375","207,496","400,662","130,947","13,554","5,032"
        Amount,"14,545,919",0,"509,800","1,447,255","2,007,876","2,189,875","5,365,085","2,534,867","348,430","142,732"
    Charitable contributions:  Number,"1,236,419",0,"68,656","181,880","212,813","202,280","406,475","140,951","16,295","7,069"
