Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”,Name: “Table 1 of 1 on page 16 of 17”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,
,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,,
,ALCOHOL RELATED FATALITIES,ALCOHOL RELATED FATALITIES,ALCOHOL RELATED FATALITIES,,
,(DRIVER OR NONOCCUPANT BAC >= .01),(DRIVER OR NONOCCUPANT BAC >= .01),(DRIVER OR NONOCCUPANT BAC >= .01),,
,1982,1995,,1982,1995
Region I,,,Region VI,,
Connecticut,68.3%,48.8%,Arkansas,61.1%,34.3%
Maine,49.6%,27.7%,Louisiana,54.6%,53.2%
Massachusetts,59.6%,45.7%,New Mexico,63.6%,50.2%
New Hampshire,58.4%,39.1%,Oklahoma,56.1%,37.5%
Rhode Island,66.1%,41.6%,Texas,68.5%,56.0%
Vermont,64.3%,41.4%,,,
,,,Region VII,,
Region II,,,Iowa,47.0%,41.6%
New Jersey,56.0%,40.9%,Kansas,45.0%,40.4%
New York,47.1%,32.4%,Missouri,50.1%,51.6%
*Puerto Rico,48.9%,54.1%,Nebraska,48.0%,36.7%
Region III,,,Region VIII,,
Delaware,65.9%,41.5%,Colorado,62.3%,45.6%
DC,59.8%,54.7%,Montana,65.8%,42.5%
Maryland,54.4%,34.8%,North Dakota,64.1%,57.9%
Pennsylvania,58.5%,41.2%,South Dakota,60.1%,45.0%
Virginia,52.8%,39.8%,Utah,38.3%,26.3%
West Virginia,50.8%,42.7%,Wyoming,55.3%,48.9%
Region IV,,,Region IX,,
Alabama,55.7%,41.6%,Arizona,56.3%,43.4%
Florida,46.6%,39.6%,California,58.9%,41.0%
Georgia,58.6%,35.1%,Hawaii,61.4%,49.3%
Kentucky,53.9%,33.8%,Nevada,66.7%,49.4%
Mississippi,56.3%,41.6%,,,
North Carolina,60.1%,33.7%,,,
South Carolina,59.0%,31.8%,Region X,,
Tennessee,62.4%,40.7%,Alaska,54.7%,54.5%
,,,Idaho,44.0%,34.0%
,,,Oregon,62.8%,41.4%
Region V,,,Washington,63.5%,48.5%
Illinois,58.6%,42.9%,,,
Indiana,48.5%,34.4%,,,
Michigan,59.6%,40.3%,,,
Minnesota,54.5%,44.3%,Nation,57.3%,41.3%
Ohio,56.5%,32.2%,,,
Wisconsin,61.6%,42.6%,* not included in national totals,* not included in national totals,
