Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”,Name: “Table 1 of 1 on page 12 of 17”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,
,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,SURVIVING DRIVERS BY STATE AND BAC LEVEL,,,
,,,,1995,,,,,
,,WITH KNOWN,,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,778,91,11.7,99,12.7,584,75.1,4,0.5
ALASKA,57,33,57.9,0,0,11,19.3,13,22.8
ARIZONA,894,67,7.5,49,5.5,597,66.8,181,20.2
ARKANSAS,401,139,34.7,0,0,262,65.3,0,0
CALIFORNIA,"3,377",775,22.9,14,0.4,"2,581",76.4,7,0.2
COLORADO,454,188,41.4,0,0,239,52.6,27,5.9
CONNECTICUT,214,51,23.8,5,2.3,116,54.2,42,19.6
DELAWARE,112,73,65.2,0,0,35,31.3,4,3.6
DIST OF COLUMBIA,40,10,25.0,3,7.5,27,67.5,0,0
FLORIDA,"2,533",363,14.3,175,6.9,"1,904",75.2,91,3.6
GEORGIA,"1,181",820,69.4,35,3.0,312,26.4,14,1.2
HAWAII,88,25,28.4,0,0,62,70.5,1,1.1
IDAHO,167,40,24.0,10,6.0,85,50.9,32,19.2
ILLINOIS,"1,235",143,11.6,8,0.6,"1,083",87.7,1,0.1
INDIANA,766,337,44.0,59,7.7,353,46.1,17,2.2
IOWA,356,145,40.7,0,0,207,58.1,4,1.1
KANSAS,282,91,32.3,0,0,179,63.5,12,4.3
KENTUCKY,576,208,36.1,24,4.2,343,59.5,1,0.2
LOUISIANA,591,406,68.7,16,2.7,160,27.1,9,1.5
MAINE,134,10,7.5,0,0,5,3.7,119,88.8
MARYLAND,555,43,7.7,14,2.5,494,89.0,4,0.7
MASSACHUSETTS,368,2,0.5,2,0.5,339,92.1,25,6.8
MICHIGAN,"1,331",403,30.3,32,2.4,896,67.3,0,0
MINNESOTA,430,208,48.4,48,11.2,120,27.9,54,12.6
MISSISSIPPI,573,281,49.0,0,0,291,50.8,1,0.2
MISSOURI,725,78,10.8,8,1.1,637,87.9,2,0.3
MONTANA,127,60,47.2,4,3.1,51,40.2,12,9.4
NEBRASKA,180,146,81.1,1,0.6,33,18.3,0,0
NEVADA,221,95,43.0,5,2.3,121,54.8,0,0
NEW HAMPSHIRE,94,32,34.0,0,0,31,33.0,31,33.0
NEW JERSEY,636,111,17.5,8,1.3,288,45.3,229,36.0
NEW MEXICO,332,38,11.4,37,11.1,234,70.5,23,6.9
NEW YORK,"1,410",41,2.9,3,0.2,66,4.7,"1,300",92.2
NORTH CAROLINA,"1,132",5,0.4,103,9.1,989,87.4,35,3.1
NORTH DAKOTA,47,11,23.4,3,6.4,27,57.4,6,12.8
OHIO,"1,007",131,13.0,125,12.4,723,71.8,28,2.8
OKLAHOMA,457,12,2.6,43,9.4,385,84.2,17,3.7
OREGON,405,133,32.8,2,0.5,265,65.4,5,1.2
PENNSYLVANIA,"1,129",198,17.5,86,7.6,828,73.3,17,1.5
RHODE ISLAND,52,1,1.9,3,5.8,48,92.3,0,0
SOUTH CAROLINA,618,21,3.4,13,2.1,575,93.0,9,1.5
SOUTH DAKOTA,94,55,58.5,1,1.1,31,33.0,7,7.4
TENNESSEE,873,393,45.0,0,0,460,52.7,20,2.3
TEXAS,"2,446",649,26.5,198,8.1,"1,598",65.3,1,0.0
UTAH,265,130,49.1,66,24.9,68,25.7,1,0.4
VERMONT,60,20,33.3,0,0,38,63.3,2,3.3
VIRGINIA,637,4,0.6,0,0,501,78.6,132,20.7
WASHINGTON,457,113,24.7,4,0.9,332,72.6,8,1.8
WEST VIRGINIA,244,58,23.8,1,0.4,185,75.8,0,0
WISCONSIN,539,177,32.8,2,0.4,358,66.4,2,0.4
WYOMING,77,28,36.4,1,1.3,48,62.3,0,0
TOTAL USA,"31,757","7,692",24.2,"1,310",4.1,"20,205",63.6,"2,550",8.0
PUERTO RICO,502,280,55.8,6,1.2,216,43.0,0,0
