Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”,Name: “Table 1 of 1 on page 14 of 17”
Table: 14,Table: 14,Table: 14,Table: 14
,,,
"DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN BAC","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN BAC","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN BAC","DRIVERS, PEDESTRIANS, AND PEDALCYCLISTS WITH KNOWN BAC"
,INVOLVED IN FATAL TRAFFIC CRASHES,INVOLVED IN FATAL TRAFFIC CRASHES,
,1995,,
,,TESTED WITH KNOWN BAC,TESTED WITH KNOWN BAC
STATE,TOTAL,#,%
ALABAMA,"1,615",389,24.1
ALASKA,114,63,55.3
ARIZONA,"1,589",455,28.6
ARKANSAS,855,416,48.7
CALIFORNIA,"6,514","2,514",38.6
COLORADO,931,579,62.2
CONNECTICUT,467,268,57.4
DELAWARE,201,146,72.6
DIST OF COLUMBIA,91,11,12.1
FLORIDA,"4,739","1,639",34.6
GEORGIA,"2,303","1,731",75.2
HAWAII,197,125,63.5
IDAHO,349,148,42.4
ILLINOIS,"2,430","1,186",48.8
INDIANA,"1,469",806,54.9
IOWA,744,360,48.4
KANSAS,623,277,44.5
KENTUCKY,"1,180",554,46.9
LOUISIANA,"1,282",857,66.8
MAINE,270,90,33.3
MARYLAND,"1,078",361,33.5
MASSACHUSETTS,697,296,42.5
MICHIGAN,"2,485","1,184",47.6
MINNESOTA,871,542,62.2
MISSISSIPPI,"1,218",736,60.4
MISSOURI,"1,534",630,41.1
MONTANA,264,164,62.1
NEBRASKA,366,301,82.2
NEVADA,461,276,59.9
NEW HAMPSHIRE,183,99,54.1
NEW JERSEY,"1,260",299,23.7
NEW MEXICO,674,333,49.4
NEW YORK,"2,756",942,34.2
NORTH CAROLINA,"2,206",855,38.8
NORTH DAKOTA,100,41,41.0
OHIO,"2,040",685,33.6
OKLAHOMA,962,384,39.9
OREGON,826,516,62.5
PENNSYLVANIA,"2,271",962,42.4
RHODE ISLAND,106,51,48.1
SOUTH CAROLINA,"1,299",234,18.0
SOUTH DAKOTA,207,137,66.2
TENNESSEE,"1,817","1,050",57.8
TEXAS,"4,820","1,683",34.9
UTAH,494,272,55.1
VERMONT,138,68,49.3
VIRGINIA,"1,317",475,36.1
WASHINGTON,947,526,55.5
WEST VIRGINIA,524,299,57.1
WISCONSIN,"1,102",651,59.1
WYOMING,183,118,64.5
TOTAL USA,"63,169","27,784",44.0
PUERTO RICO,976,606,62.1
