Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”,Name: “Table 1 of 1 on page 7 of 17”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,
,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,,,
,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,,
,,,,1995,,,,,
,,No Alcohol,,Low Alcohol,,High Alcohol,,Any Alcohol,
,,BAC .00,,BAC .01-.09,,BAC .10+,,BAC .01+,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,"1,525","1,112",72.9,82,5.4,331,21.7,413,27.1
ALASKA,107,65,60.4,11,10.2,31,29.4,42,39.6
ARIZONA,"1,373","1,024",74.6,89,6.5,260,18.9,349,25.4
ARKANSAS,799,627,78.4,55,6.8,118,14.7,172,21.6
CALIFORNIA,"5,461","4,155",76.1,355,6.5,951,17.4,"1,306",23.9
COLORADO,843,598,71.0,58,6.9,186,22.1,245,29.0
CONNECTICUT,406,269,66.3,27,6.6,110,27.0,137,33.7
DELAWARE,171,132,77.0,10,6.1,29,16.9,39,23.0
DIST OF COLUMBIA,75,46,60.9,7,9.3,22,29.8,29,39.1
FLORIDA,"3,979","3,130",78.7,208,5.2,641,16.1,849,21.3
GEORGIA,"2,095","1,672",79.8,109,5.2,314,15.0,423,20.2
HAWAII,159,106,66.7,18,11.0,35,22.3,53,33.3
IDAHO,325,245,75.4,17,5.3,63,19.3,80,24.6
ILLINOIS,"2,165","1,603",74.1,116,5.3,446,20.6,562,25.9
INDIANA,"1,375","1,088",79.1,60,4.4,227,16.5,287,20.9
IOWA,705,508,72.0,58,8.3,139,19.7,197,28.0
KANSAS,577,421,73.0,25,4.3,131,22.7,156,27.0
KENTUCKY,"1,116",880,78.8,50,4.5,186,16.7,236,21.2
LOUISIANA,"1,094",708,64.7,108,9.8,279,25.5,386,35.3
MAINE,259,210,81.1,8,3.0,41,15.9,49,18.9
MARYLAND,939,757,80.6,50,5.4,132,14.0,182,19.4
MASSACHUSETTS,605,412,68.1,60,9.9,133,22.0,193,31.9
MICHIGAN,"2,250","1,722",76.5,136,6.1,392,17.4,528,23.5
MINNESOTA,814,589,72.4,53,6.5,171,21.0,225,27.6
MISSISSIPPI,"1,155",845,73.1,53,4.6,257,22.3,310,26.9
MISSOURI,"1,424",909,63.8,134,9.4,382,26.8,515,36.2
MONTANA,253,172,67.9,12,4.8,69,27.3,81,32.1
NEBRASKA,343,262,76.4,26,7.7,54,15.9,81,23.6
NEVADA,395,266,67.4,32,8.1,97,24.5,129,32.6
NEW HAMPSHIRE,170,129,76.1,16,9.3,25,14.6,41,23.9
NEW JERSEY,"1,069",801,75.0,69,6.5,198,18.5,268,25.0
NEW MEXICO,577,401,69.5,38,6.5,138,23.9,176,30.5
NEW YORK,"2,250","1,837",81.7,119,5.3,294,13.1,413,18.3
NORTH CAROLINA,"1,976","1,614",81.7,69,3.5,292,14.8,362,18.3
NORTH DAKOTA,97,61,63.1,9,9.7,26,27.2,36,36.9
OHIO,"1,889","1,521",80.5,80,4.2,289,15.3,368,19.5
OKLAHOMA,901,681,75.6,43,4.8,177,19.6,220,24.4
OREGON,732,548,74.9,47,6.4,137,18.7,184,25.1
PENNSYLVANIA,"2,033","1,506",74.1,123,6.1,404,19.9,527,25.9
RHODE ISLAND,89,66,73.9,6,6.3,18,19.8,23,26.1
SOUTH CAROLINA,"1,171",957,81.7,42,3.6,172,14.7,214,18.3
SOUTH DAKOTA,192,132,69.0,9,4.6,51,26.4,60,31.0
TENNESSEE,"1,693","1,248",73.7,86,5.1,359,21.2,445,26.3
TEXAS,"4,234","2,670",63.1,415,9.8,"1,150",27.2,"1,564",36.9
UTAH,437,370,84.7,15,3.5,51,11.8,67,15.3
VERMONT,133,92,69.1,11,8.1,30,22.8,41,30.9
VIRGINIA,"1,199",900,75.1,71,6.0,227,19.0,299,24.9
WASHINGTON,843,584,69.3,57,6.7,203,24.0,259,30.7
WEST VIRGINIA,492,349,71.0,29,6.0,113,23.0,143,29.0
WISCONSIN,"1,017",737,72.5,54,5.3,226,22.2,280,27.5
WYOMING,174,112,64.2,15,8.4,48,27.4,62,35.8
TOTAL USA,"56,155","41,849",74.5,"3,451",6.1,"10,855",19.3,"14,306",25.5
PUERTO RICO,763,495,64.9,91,11.9,177,23.2,268,35.1
