Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,
,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,ESTIMATED PERCENT OF,,
,DRIVERS IN FATAL CRASHES,DRIVERS IN FATAL CRASHES,DRIVERS IN FATAL CRASHES,,
,,WITH A BAC >= .10,WITH A BAC >= .10,,
,1982,1995,,1982,1995
Region I,,,Region VI,,
Connecticut,37.4%,27.0%,Arkansas,33.5%,14.7%
Maine,27.1%,15.9%,Louisiana,25.4%,25.5%
Massachusetts,32.1%,22.0%,New Mexico,34.2%,23.9%
New Hampshire,31.5%,14.6%,Oklahoma,27.5%,19.6%
Rhode Island,35.3%,19.8%,Texas,38.0%,27.2%
Vermont,30.8%,22.8%,,,
,,,Region VII,,
Region II,,,Iowa,24.4%,19.7%
New Jersey,25.7%,18.5%,Kansas,23.6%,22.7%
New York,22.0%,13.1%,Missouri,25.8%,26.8%
* Puerto Rico,22.0%,23.2%,Nebraska,25.2%,15.9%
Region III,,,Region VIII,,
Delaware,35.6%,16.9%,Colorado,35.3%,22.1%
DC,24.7%,29.8%,Montana,37.4%,27.3%
Maryland,27.7%,14.0%,North Dakota,37.6%,27.2%
Pennsylvania,29.9%,19.9%,South Dakota,35.5%,26.4%
Virginia,27.5%,19.0%,Utah,20.6%,11.8%
West Virginia,29.7%,23.0%,Wyoming,31.3%,27.4%
Region IV,,,Region IX,,
Alabama,29.8%,21.7%,Arizona,26.8%,18.9%
Florida,22.5%,16.1%,California,30.9%,17.4%
Georgia,29.5%,15.0%,Hawaii,33.5%,22.3%
Kentucky,26.9%,16.7%,Nevada,36.1%,24.5%
Mississippi,30.0%,22.3%,,,
North Carolina,30.3%,14.8%,,,
South Carolina,29.6%,14.7%,Region X,,
Tennessee,35.3%,21.2%,Alaska,35.6%,29.4%
,,,Idaho,25.8%,19.3%
,,,Oregon,35.0%,18.7%
Region V,,,Washington,37.3%,24.0%
Illinois,28.6%,20.6%,,,
Indiana,25.9%,16.5%,,,
Michigan,31.5%,17.4%,,,
Minnesota,29.6%,21.0%,Nation,30.0%,19.3%
Ohio,31.2%,15.3%,,,
Wisconsin,36.3%,22.2%,* not included in the national totals,* not included in the national totals,
