Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”,Name: “Table 1 of 1 on page 6 of 17”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,
,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,DRIVERS INVOLVED IN FATAL CRASHES,,,
,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,BY BLOOD ALCOHOL CONCENTRATION (BAC) OF DRIVER,,
,,,,1982,,,,,
,,No Alcohol,,Low Alcohol,,High Alcohol,,Any Alcohol,
,,BAC .00,,BAC .01-.09,,BAC .10+,,BAC .01+,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,"1,046",647,61.9,87,8.3,312,29.8,399,38.1
ALASKA,143,83,58.3,9,6.1,51,35.6,60,41.7
ARIZONA,915,597,65.2,73,8.0,245,26.8,318,34.8
ARKANSAS,682,377,55.3,77,11.3,228,33.5,305,44.7
CALIFORNIA,"5,914","3,586",60.6,499,8.4,"1,829",30.9,"2,328",39.4
COLORADO,817,450,55.1,78,9.6,288,35.3,367,44.9
CONNECTICUT,678,343,50.6,81,12.0,254,37.4,335,49.4
DELAWARE,171,93,54.3,17,10.2,61,35.6,78,45.7
DIST OF COLUMBIA,50,31,62.7,6,12.6,12,24.7,19,37.3
FLORIDA,"3,564","2,506",70.3,255,7.1,803,22.5,"1,058",29.7
GEORGIA,"1,614",985,61.0,153,9.5,476,29.5,629,39.0
HAWAII,200,115,57.4,18,9.1,67,33.5,85,42.6
IDAHO,287,188,65.7,25,8.6,74,25.8,99,34.3
ILLINOIS,"2,131","1,333",62.5,189,8.9,609,28.6,798,37.5
INDIANA,"1,269",851,67.0,90,7.1,328,25.9,418,33.0
IOWA,622,427,68.7,43,6.9,152,24.4,195,31.3
KANSAS,646,456,70.6,37,5.7,153,23.6,190,29.4
KENTUCKY,"1,015",662,65.2,80,7.9,273,26.9,353,34.8
LOUISIANA,"1,407",891,63.3,159,11.3,357,25.4,516,36.7
MAINE,208,139,66.9,13,6.0,56,27.1,69,33.1
MARYLAND,832,540,64.9,62,7.5,230,27.7,292,35.1
MASSACHUSETTS,831,482,58.0,83,9.9,267,32.1,349,42.0
MICHIGAN,"1,879","1,122",59.7,165,8.8,592,31.5,757,40.3
MINNESOTA,759,486,64.0,49,6.4,224,29.6,273,36.0
MISSISSIPPI,892,545,61.1,80,8.9,267,30.0,347,38.9
MISSOURI,"1,141",765,67.1,81,7.1,295,25.8,376,32.9
MONTANA,299,152,50.8,35,11.8,112,37.4,147,49.2
NEBRASKA,342,232,68.0,23,6.8,86,25.2,110,32.0
NEVADA,335,186,55.7,28,8.3,121,36.1,149,44.3
NEW HAMPSHIRE,223,133,59.8,19,8.6,70,31.5,90,40.2
NEW JERSEY,"1,369",875,64.0,141,10.3,352,25.7,494,36.0
NEW MEXICO,660,371,56.3,63,9.6,226,34.2,289,43.7
NEW YORK,"2,687","1,899",70.7,196,7.3,591,22.0,788,29.3
NORTH CAROLINA,"1,655","1,018",61.5,136,8.2,501,30.3,637,38.5
NORTH DAKOTA,192,100,52.3,19,10.1,72,37.6,92,47.7
OHIO,"2,045","1,238",60.5,169,8.3,637,31.2,807,39.5
OKLAHOMA,"1,402",901,64.3,115,8.2,386,27.5,501,35.7
OREGON,653,360,55.1,65,9.9,228,35.0,293,44.9
PENNSYLVANIA,"2,368","1,420",60.0,239,10.1,708,29.9,948,40.0
RHODE ISLAND,128,67,52.1,16,12.6,45,35.3,61,47.9
SOUTH CAROLINA,937,586,62.5,73,7.8,278,29.6,351,37.5
SOUTH DAKOTA,180,100,55.4,16,9.1,64,35.5,80,44.6
TENNESSEE,"1,336",734,54.9,130,9.8,472,35.3,602,45.1
TEXAS,"5,177","2,546",49.2,662,12.8,"1,969",38.0,"2,631",50.8
UTAH,371,272,73.2,23,6.3,76,20.6,99,26.8
VERMONT,121,67,55.3,17,13.9,37,30.8,54,44.7
VIRGINIA,"1,114",723,64.9,85,7.6,306,27.5,391,35.1
WASHINGTON,950,518,54.5,78,8.2,354,37.3,432,45.5
WEST VIRGINIA,547,355,64.9,29,5.4,162,29.7,192,35.1
WISCONSIN,991,549,55.4,83,8.3,359,36.3,442,44.6
WYOMING,234,144,61.7,16,7.0,73,31.3,90,38.3
TOTAL USA,"56,029","34,250",61.1,"4,987",8.9,"16,793",30.0,"21,779",38.9
PUERTO RICO,578,411,71.1,40,6.9,127,22.0,167,28.9
