Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”,Name: “Table 1 of 1 on page 3 of 17”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,
FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH,FATALITIES BY THE HIGHEST BLOOD ALCOHOL CONCENTRATION (BAC) IN THE CRASH
,,,,1982,,,,,
,,No Alcohol,,Low Alcohol,,High Alcohol,,Any Alcohol,
,,BAC .00,,BAC .01-.09,,BAC .10+,,BAC .01+,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,839,372,44.3,89,10.6,379,45.2,467,55.7
ALASKA,105,48,45.3,3,3.1,54,51.7,57,54.7
ARIZONA,724,317,43.7,73,10.1,334,46.2,407,56.3
ARKANSAS,550,214,38.9,66,11.9,270,49.1,336,61.1
CALIFORNIA,"4,615","1,894",41.1,498,10.8,"2,223",48.2,"2,721",58.9
COLORADO,668,252,37.7,75,11.2,342,51.1,416,62.3
CONNECTICUT,515,163,31.7,66,12.7,286,55.6,352,68.3
DELAWARE,122,42,34.1,11,8.8,70,57.1,80,65.9
DIST OF COLUMBIA,35,14,40.2,6,16.8,15,42.9,21,59.8
FLORIDA,"2,653","1,418",53.4,252,9.5,983,37.1,"1,235",46.6
GEORGIA,"1,229",509,41.4,145,11.8,575,46.8,720,58.6
HAWAII,163,63,38.6,18,11.2,82,50.2,100,61.4
IDAHO,256,143,56.0,26,10.0,87,34.0,113,44.0
ILLINOIS,"1,651",683,41.4,202,12.2,766,46.4,968,58.6
INDIANA,961,495,51.5,91,9.4,375,39.1,466,48.5
IOWA,480,255,53.0,47,9.8,179,37.2,225,47.0
KANSAS,498,274,55.0,41,8.3,183,36.8,224,45.0
KENTUCKY,822,379,46.1,99,12.1,344,41.8,443,53.9
LOUISIANA,"1,091",496,45.4,139,12.7,457,41.8,595,54.6
MAINE,166,84,50.4,18,11.1,64,38.5,82,49.6
MARYLAND,640,292,45.6,61,9.5,288,44.9,348,54.4
MASSACHUSETTS,659,266,40.4,79,11.9,314,47.6,393,59.6
MICHIGAN,"1,392",562,40.4,136,9.8,693,49.8,830,59.6
MINNESOTA,571,260,45.5,47,8.2,265,46.3,311,54.5
MISSISSIPPI,730,319,43.7,79,10.8,332,45.5,411,56.3
MISSOURI,890,444,49.9,96,10.8,350,39.3,446,50.1
MONTANA,254,87,34.2,32,12.5,135,53.3,167,65.8
NEBRASKA,261,136,52.0,24,9.2,101,38.8,125,48.0
NEVADA,280,93,33.3,34,12.3,152,54.5,187,66.7
NEW HAMPSHIRE,173,72,41.6,20,11.8,81,46.6,101,58.4
NEW JERSEY,"1,061",467,44.0,145,13.7,449,42.3,594,56.0
NEW MEXICO,577,210,36.4,67,11.6,300,52.0,367,63.6
NEW YORK,"2,162","1,143",52.9,241,11.1,777,36.0,"1,019",47.1
NORTH CAROLINA,"1,303",520,39.9,137,10.5,646,49.6,783,60.1
NORTH DAKOTA,148,53,35.9,15,10.0,80,54.1,95,64.1
OHIO,"1,607",699,43.5,159,9.9,749,46.6,908,56.5
OKLAHOMA,"1,054",463,43.9,121,11.4,471,44.7,591,56.1
OREGON,518,193,37.2,55,10.7,270,52.1,325,62.8
PENNSYLVANIA,"1,819",756,41.5,219,12.0,845,46.4,"1,063",58.5
RHODE ISLAND,105,36,33.9,20,19.3,49,46.9,69,66.1
SOUTH CAROLINA,730,300,41.0,69,9.4,361,49.5,430,59.0
SOUTH DAKOTA,148,59,39.9,11,7.3,78,52.9,89,60.1
TENNESSEE,"1,055",397,37.6,112,10.6,546,51.8,658,62.4
TEXAS,"4,213","1,325",31.5,553,13.1,"2,335",55.4,"2,888",68.5
UTAH,295,182,61.7,18,6.1,95,32.1,113,38.3
VERMONT,107,38,35.7,20,19.0,48,45.3,69,64.3
VIRGINIA,881,416,47.2,87,9.9,378,42.9,465,52.8
WASHINGTON,748,273,36.5,73,9.7,402,53.7,475,63.5
WEST VIRGINIA,450,221,49.2,33,7.2,196,43.6,229,50.8
WISCONSIN,770,295,38.4,67,8.7,408,52.9,475,61.6
WYOMING,201,90,44.7,17,8.3,95,47.1,111,55.3
TOTAL USA,"43,945","18,780",42.7,"4,809",10.9,"20,356",46.3,"25,165",57.3
PUERTO RICO,480,245,51.1,40,8.3,195,40.5,235,48.9
