Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”,Name: “Table 1 of 1 on page 10 of 17”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,
,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,,,
,,,,1995,,,,,
,,WITH KNOWN,WITH KNOWN,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,747,277,37.1,181,24.2,282,37.8,7,0.9
ALASKA,50,28,56.0,0,0,8,16.0,14,28.0
ARIZONA,479,279,58.2,86,18.0,24,5.0,90,18.8
ARKANSAS,398,259,65.1,0,0,139,34.9,0,0
CALIFORNIA,"2,084","1,243",59.6,2,0.1,147,7.1,692,33.2
COLORADO,389,340,87.4,0,0,40,10.3,9,2.3
CONNECTICUT,192,174,90.6,1,0.5,14,7.3,3,1.6
DELAWARE,59,47,79.7,0,0,11,18.6,1,1.7
DIST OF COLUMBIA,35,1,2.9,8,22.9,26,74.3,0,0
FLORIDA,"1,446",918,63.5,69,4.8,450,31.1,9,0.6
GEORGIA,914,769,84.1,40,4.4,83,9.1,22,2.4
HAWAII,71,69,97.2,0,0,1,1.4,1,1.4
IDAHO,158,95,60.1,14,8.9,27,17.1,22,13.9
ILLINOIS,930,847,91.1,2,0.2,81,8.7,0,0
INDIANA,609,423,69.5,41,6.7,117,19.2,28,4.6
IOWA,349,210,60.2,0,0,138,39.5,1,0.3
KANSAS,295,171,58.0,0,0,110,37.3,14,4.7
KENTUCKY,540,330,61.1,38,7.0,160,29.6,12,2.2
LOUISIANA,503,373,74.2,53,10.5,65,12.9,12,2.4
MAINE,125,76,60.8,1,0.8,5,4.0,43,34.4
MARYLAND,384,238,62.0,2,0.5,88,22.9,56,14.6
MASSACHUSETTS,237,212,89.5,1,0.4,18,7.6,6,2.5
MICHIGAN,919,668,72.7,10,1.1,241,26.2,0,0
MINNESOTA,384,296,77.1,2,0.5,36,9.4,50,13.0
MISSISSIPPI,582,431,74.1,0,0,151,25.9,0,0
MISSOURI,699,494,70.7,6,0.9,198,28.3,1,0.1
MONTANA,126,101,80.2,1,0.8,13,10.3,11,8.7
NEBRASKA,163,145,89.0,0,0,18,11.0,0,0
NEVADA,174,137,78.7,3,1.7,34,19.5,0,0
NEW HAMPSHIRE,76,61,80.3,0,0,8,10.5,7,9.2
NEW JERSEY,433,128,29.6,2,0.5,100,23.1,203,46.9
NEW MEXICO,245,218,89.0,0,0,18,7.3,9,3.7
NEW YORK,840,560,66.7,6,0.7,46,5.5,228,27.1
NORTH CAROLINA,844,683,80.9,19,2.3,109,12.9,33,3.9
NORTH DAKOTA,50,29,58.0,3,6.0,14,28.0,4,8.0
OHIO,882,510,57.8,124,14.1,224,25.4,24,2.7
OKLAHOMA,444,332,74.8,0,0,110,24.8,2,0.5
OREGON,327,314,96.0,0,0,13,4.0,0,0
PENNSYLVANIA,904,650,71.9,62,6.9,165,18.3,27,3.0
RHODE ISLAND,37,34,91.9,0,0,3,8.1,0,0
SOUTH CAROLINA,553,173,31.3,33,6.0,346,62.6,1,0.2
SOUTH DAKOTA,98,72,73.5,5,5.1,17,17.3,4,4.1
TENNESSEE,820,583,71.1,0,0,188,22.9,49,6.0
TEXAS,"1,788",873,48.8,213,11.9,700,39.1,2,0.1
UTAH,172,117,68.0,26,15.1,27,15.7,2,1.2
VERMONT,73,48,65.8,0,0,21,28.8,4,5.5
VIRGINIA,562,401,71.4,0,0,36,6.4,125,22.2
WASHINGTON,386,338,87.6,0,0,44,11.4,4,1.0
WEST VIRGINIA,248,214,86.3,6,2.4,28,11.3,0,0
WISCONSIN,478,413,86.4,1,0.2,63,13.2,1,0.2
WYOMING,97,83,85.6,0,0,13,13.4,1,1.0
TOTAL USA,"24,398","16,485",67.6,"1,061",4.3,"5,018",20.6,"1,834",7.5
PUERTO RICO,261,199,76.2,1,0.4,61,23.4,0,0
