DataSetKey,DataSet,SiteKey(Start),SampleKey(Start),SitesOutput,SamplesOutput,WestBounding,EastBounding,NorthBounding,SouthBounding
1,"Hersey, 1967: Deep Sea Photographs",1,1,12,9,-75.4,-66.4,42.15,29.98
7,NOAA: Southeast Monitoring and Assessment (SEAMAP) data,13,10,21824,8743,-81.44733,33.53333,36.5,26.93
8,U.S. EPA: Environmental Monitoring and Assessment Program (EMAP) data,21837,8753,2149,3066,-97.6027,-69.941,42.1917,25.9448
9,"Sommerfield, 2001: GeoCLUTTER CH01_17 Sediment Grain Size Analysis, New Jersey",23986,11819,6,57,-72.86792,-72.7393,39.33889,39.26698
10,"Sommerfield, 2003: Upper Delaware Estuary",23992,11876,382,493,-75.58207,39.4596,40.04963,-75.48917
11,"Data from Cape Henlopen Cruise, CH01_17, 2001",24374,12369,229,264,-73.12977,-72.50887,39.42331,38.99951
12,"Ardhuin, 2002, coast of Duck, North Carolina",24603,12633,239,237,-75.73817,-74.8375,36.5843,36.11335
14,"ONR, Cape Henlopen cruise off Martha's Vineyard, August 2002",24842,12870,36,70,-70.57305,-70.55346,41.344,41.31333
15,"Goff, et al, 2000 (L1400 data)",24878,12940,295,295,-73.745,-72.9467,39.6998,39.2666
22,National Status and Trends Program: Long Island Sound Contaminants,25173,13235,122,122,-73.9035,-72.0765,41.353,40.76
23,"NOAA-NMFS, Galveston Laboratory Essential Fish Habitat Project data",25295,13357,173,173,-96.764,-80.788,30.005,24.351
27,NGDC '073' files,25468,13530,6758,7823,-180,180,81.705,-78.367
28,"CERCTM54: USACE ICONS Cores, Cape Canaveral, Florida to Georgia",32226,21353,20,65,-81.3389,-80.3498,30.52132,28.3613
29,"CERCTM34: USACE ICONS Cores, Palm Beach to Cape Kennedy, Florida",32246,21418,73,314,-80.60068,-80.09092,28.30218,27.30223
30,"CERCTM42: USACE ICONS Cores,  Cape Canaveral, Florida",32319,21732,13,20,-80.5828,-80.428,28.66197,28.09207
31,"CERCTM29: USACE ICONS Cores, Miami to Palm Beach, Florida",32332,21752,31,185,-80.12392,-80.02321,26.78326,25.68251
33,"CERCTM45: USACE ICONS Cores, Inner New York Bight",32363,21937,67,391,-74.08417,-73.5839,40.57729,40.27374
34,"CERCMR82-10: USACE ICONS Cores, Central New Jersey",32430,22328,68,361,-74.3504,-73.9789,39.82517,39.35685
35,"CERCTP76: USACE ICONS Cores,  Long Island South Shore",32498,22689,131,795,-73.66063,-71.845,41.16785,40.44041
37,"USACE vibracores: Union Beach, Point Comfort, Sandy Hook, 1998",32629,23484,16,114,-74.1809,-73.9721,40.4806,40.4536
38,"USACE vibracores: Staten Island, 2000",32645,23598,19,73,-74.0999,-74.0682,40.5623,40.5289
39,"USACE New York Bight Mud Dump Site, 1988",32664,23671,14,254,-73.8432,-73.8385,40.3733,40.367
40,"USACE vibracores: Sandy Hook to Manasquan, 1983 - 1989",32678,23925,90,568,-73.9975,-73.9153,40.4402,40.1171
41,"CERCMR80-4: USACE ICONS Cores, Cape May region, New Jersey",32768,24493,101,294,-75.0404,-74.4987,39.0001,38.7545
42,USACE: NY/NJ Harbor,32869,24787,189,189,-74.2505,-73.9685,40.60167,40.45117
46,Seafloor Surficial Sediment Descriptions (Deck41) NGDC Data Set G02094: nodcref 501,33058,24976,7,7,-72.218,-48.348,49.555,39.392
47,Seafloor Surficial Sediment Descriptions (Deck41) NGDC Data Set G02094: nodcref 502,33065,24983,825,825,-74.972,-70.505,41.848,38.213
48,Seafloor Surficial Sediment Descriptions (Deck41) NGDC Data Set G02094: nodcref 503,33890,25808,149,149,-70.617,-70.203,41.725,41.23
